9:31:46 AM Friday, April 29, 2011 Daqart.Main_Load-Object reference not set to an instance of an object.
4:36:58 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:58 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:58 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:58 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:58 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:58 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:58 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:58 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:58 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:58 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:58 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF000006F2-FCCF95FA&0013'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF000006F2-FCCF95FA&0012'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF000006F2-FCCF95FA&0012'-Object reference not set to an instance of an object.
4:36:59 PM Sunday, May 01, 2011 Utilities.ExecuteQuery()--query-SELECT Name + ' - ' + Description As expr1 FROM groups WHERE MUID='BFEBFBFF00000F62-D02E28CC&0011'-Object reference not set to an instance of an object.
